主页链接,关注粉丝比,用户名,显示名称,粉丝数,关注数,XHunt评分,认证类型,关注状态,是否关注我,地区,个人简介
https://x.com/CihanHem,0.940251572,@CihanHem,链上小豆,636,598,-,蓝V,已关注,是,币圈你需要的全部工具👉,PolyMarket官方注册链接：https://t.co/dhFlcm1Kc6 预测市场最快的跟单平台PolyCop：https://t.co/E1HhJd6DxY 加入我的PolyMarket电报群：https://t.co/btIyIZRs2t
https://x.com/Ethannomadlife,1.137755102,@Ethannomadlife,伊森不打卡Ethan,1960,2230,-,蓝V,已关注,是,"Toronto, Ontario","前资深运营总监，现Base🇨🇦AI产品经理
帮普通人用AI放大收入｜一人公司实战
从打工人→数字游民的真实路径
👉 关注我：普通人用AI搞钱的真实过程
利他，永远是这个世界上最伟大的商业模式"
https://x.com/xgf520,1.697674419,@xgf520,钞能力实验室,430,730,-,蓝V,已关注,是,,"用AI帮你赚钞能力💰 | AI工具 + 商业案例 + 科技趋势
每周分享实战干货 + 赚钱方法
关注后一起变强🚀 #钞能力实验室"
https://x.com/IngridandGrace,1.986413043,@IngridandGrace,Bergman,1104,2193,-,蓝V,已关注,是,,"Ingrid Bergman, Grace Kelly, Audrey Hepburn, Gong Li, Shu Qi, classic movies, architecture"
https://x.com/guansi,1.260683761,@guansi,管四,1170,1475,-,蓝V,已关注,是,,"某央企AI实验室,工控,12岁女娃爹,果粉,80后,ACG,FF迷,前Appstore国行某Top1App开发者,科幻,MensaMember"
https://x.com/zym28,1.043062201,@zym28,静水深流,627,654,-,蓝V,已关注,是,,父亲 / 研究员｜AI & Vibe Coding｜记录学习与真实思考｜交流观点，碰撞灵感，共同进步
https://x.com/candymeg395522,1.431856899,@candymeg395522,OSea（互fo）,1174,1681,-,蓝V,已关注,是,United Kingdom,"インターネットサーフィン選手🎉

互联网不知名冲浪选手。🏄互！关❤️

Finance insights. Life chats. No jargon. Just vibes"
https://x.com/Only_hold_one,0.949438202,@Only_hold_one,潮汐｜Follow back ,1068,1014,-,蓝V,已关注,是,Kowloon City District,🏠 生活记录者 | 🤝真实活跃蓝V ｜👍诚信互关💯
https://x.com/rockyluyan,4.082258065,@rockyluyan,小雨落幽燕,620,2531,-,蓝V,已关注,是,"Osaka-fu, Japan",私の夢はバリスタでした! 今、夢と夢はますます進んでいるようです! 心の底にはまだコーヒーの夢がある、カフェまで行けるところまで行きたい! 夢を叶える昔の日を待っています!
https://x.com/0xJAKIR,0.922365823,@0xJAKIR,JAKIR ,22284,20554,86963,蓝V,已关注,是,All tweets NFA + DYOR,"Crypto Market Analyst • BTC & Altcoin Insights 
   NFTs • Ex-Ambassador @redstone_defi"
https://x.com/BTFxxkU,4.409855769,@BTFxxkU,BTFU,832,3669,-,蓝V,已关注,是,,"Extraordinary boilermaker. 
關注我，獲取更多套牢資訊。"
https://x.com/0x_Bamboo7,0.994509804,@0x_Bamboo7,0xbamboo,1275,1268,-,蓝V,已关注,是,,但行好事莫问前程
https://x.com/RainWan98094,1.28458498,@RainWan98094,Rain Wan,506,650,-,蓝V,已关注,是,,"20多年老推友了，原賬號莫名無法登陸。簡中區幾乎不發言，小粉紅請遠離我。
關注美股和虛擬貨幣，偶爾記錄點日常，也偶爾寫點文章。"
https://x.com/MasterHXK,2.49044586,@MasterHXK,Coding黄,314,782,-,蓝V,已关注,是,Shanghai,"前上海大厂/互联网程序员，现役失业游民

记录从0开始的失业自救指南 / 独立开发探索 / 寻找远程工作 / 创业中"
https://x.com/Aura96963,1.13452188,@Aura96963,AuraDD,617,700,-,蓝V,已关注,是,,"每周都会更新几篇文章，均为手写+AI润色。
【深入】栏目：结合个人的10多年的从业经验的深度洞见
【浅出】栏目：以读后感为主，或是一些粗浅想法
💼 全栈工程师｜PM｜HR
🧠 LLM爱好者｜二次元｜动漫翻译｜WOW玩家｜独立软件开发者
🧩 INTP｜爱新事物｜爱挑战｜爱钻牛角尖
💡 长期主义者｜持续构建｜静待花"
https://x.com/jijioulei33190,1.302961276,@jijioulei33190,crypto吉吉,878,1144,-,蓝V,已关注,是,厕所,"crypto吉吉  | 00后分享撸毛的日常 |在web3每天进步一点点|专注撸毛，发文，做咸鱼，抄底BTC,ETH"
https://x.com/okloveav,1.377581121,@okloveav,xo,339,467,-,蓝V,已关注,是,,信号微弱，精神越狱，呼吸自由，保持模糊。
https://x.com/0x_WILL3,2.417332772,@0x_WILL3,0xwill,2377,5746,144461,蓝V,已关注,是,香港,"#Web3 #BTC #BNB
Long BTC  · BNB"
https://x.com/tx3399x,1.277688604,@tx3399x,F | Bird,623,796,-,蓝V,已关注,是,,喜欢交朋友 Like to make friends
https://x.com/rarusori,1.482793867,@rarusori,MAGO BELLATOR 魔法戦士 ,2935,4352,-,蓝V,已关注,是,Algures no mundo,"DEIXO SEMPRE OS OUTROS FAZEREM O QUE QUEREM.
SÓ SE PREPAREM DEPOIS PARA RECEBER O QUE FAREI!
https://t.co/cr2AqfKRqc"
https://x.com/Yue29392929,1.030373832,@Yue29392929,AI智潮涌动,428,441,-,蓝V,已关注,是,,"医疗器械失业程序员
AI找工作
科技股市金融都了解，一手信息发布"
https://x.com/DaYa1052,0.954968944,@DaYa1052,李大普,644,615,-,蓝V,已关注,是,,Codexer，Clauder，Director…
https://x.com/boylikegirl666,1.445248869,@boylikegirl666,拥有BGM的男人,1105,1597,-,蓝V,已关注,是,,"已经跟工作分手两年了.刚开始焦虑.现在已经没感觉了.怎么活.总不是币圈,A股两头浪.这边喝一口水那边也喝一口水."
https://x.com/fanglong1234567,4.205659075,@fanglong1234567,难得糊涂,1449,6094,-,蓝V,已关注,是,泰国,老油条一个 看看世界 聊聊世界
https://x.com/rekinnba,1.257575758,@rekinnba,rekinnba,396,498,-,蓝V,已关注,是,,"🏀 rekinNBA | 每日NBA最新资讯 • 赛后快评 • 球星亮点
专业数据 + 娱乐解说 | 每场球都聊得透
关注不迷路，一起冲！🔥 #NBA"
https://x.com/rekinfootball,1.388198758,@rekinfootball,rekinfootball,322,447,-,蓝V,已关注,是,,| 英超+西甲+法甲+德甲+意甲+欧冠每日干货 | 战术图解+独家视角 | 欢迎讨论！DM合作
https://x.com/FranklinStaubw,1.598393574,@FranklinStaubw,Franklin Steve,996,1592,-,蓝V,已关注,是,,85后/思想：古典自由主义.保守偏右派/投资偏保守.美股.房地产.爱好学习新鲜事物/哲学.政治.环球旅行！
https://x.com/CryptoOwen66,2.210110585,@CryptoOwen66,O文,633,1399,-,蓝V,已关注,是,,"17年入圈 | BTC | 撸毛爱好者 | 吃瓜群众

1️⃣加密圈最正确的路只有一条：买入并持有BTC！
2️⃣坚持走正确的路！

⭕互关爱好者"
https://x.com/Genggar0x,2.814776275,@Genggar0x,Gengar (MON to $1),961,2705,139671,蓝V,已关注,是,,Love @monad @Arcium
https://x.com/cmctip,1.055555556,@cmctip,川普攻略CMC,306,323,-,蓝V,已关注,是,"New York, USA",CMC全球布道第一人
https://x.com/tiandoubtc,1.071633238,@tiandoubtc,鹿鹿DeFi,1745,1870,-,蓝V,已关注,是,Sham Shui Po District,Experience is the best teacher ｜ 资深币圈玩家 ｜ BTC长期持有者 ｜ 二级实盘交易员 ｜ 一级投研 ｜ 数据分析 ｜ #binance #Okx #BNB #sol 合作DM或者联系TG：https://t.co/XwPsslqRFP
https://x.com/PinTuZhe_s_dad,1.432357043,@PinTuZhe_s_dad,王梦圆,717,1027,-,蓝V,已关注,是,"Sydney, New South Wales",本人真名陈超，现居悉尼/小号@maybe_FuckU/本人电话+61427982702/@puzzlerlee的老木被5033个黑人大汉🗡️砂/狗与@careforme123禁止入内⛔️/本人住址在下方，不服来线下/报名拼图者野爹请找点下方链接/蓝v关注必回，没回私
https://x.com/Nowako70297Kim,1.256186317,@Nowako70297Kim,广州第二撸sir | TermMax,687,863,-,蓝V,已关注,是,gz,"先定个KOL小目标-收到一家交易所的周边

撸毛百分之95都是无用功
搏的就是最后那百分之5的回报覆盖百分之百的生活"
https://x.com/Jackpan531,4.846724351,@Jackpan531,Jack Pan,809,3921,140113,蓝V,已关注,是,,"当前就职：Binance Affiliate BD｜TG：@Jackpan531｜VX: Jackpan531-bn｜期待交流与合作🤝💰
【币安官网可验证TG，谨防假冒】♥️ #币安返佣商务 # Binance返佣
 Keep observing Keep learning"
